ps_slug,type,ref,title,date,scope,permalink,image_url
wmcr-vaux-1n-v653-na-0397,NA,V653 / NA - 397,#2 To Takakkaw Fall 7/17/06 [trip : file title],1906,"Camp at Takakkaw Falls, Rocky Mountains",https://archives.whyte.org/en/permalink/descriptions35889,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0397.jpg
wmcr-vaux-1n-v653-na-0480,NA,V653 / NA - 480,#3 [file title],1906,"Summit Lake ACC camp, Rocky Mountains?",https://archives.whyte.org/en/permalink/descriptions35039,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0480.jpg
wmcr-vaux-1n-v653-na-0481,NA,V653 / NA - 481,#3 [file title],[1906],"Summit Lake ACC camp, Rocky Mountains?",https://archives.whyte.org/en/permalink/descriptions36486,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0481.jpg
wmcr-vaux-1n-v653-na-0477,NA,V653 / NA - 477,"Asulkan, Burgess Pass #9, to Summit Lake 1906 [trip : file title]",1906,Alpine Club of  camp at Summit Lake Selkirk Mountains,https://archives.whyte.org/en/permalink/descriptions35038,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0477.jpg
wmcr-vaux-1n-v653-na-0485,NA,V653 / NA - 485,"Asulkan, Burgess Pass #9, to Summit Lake 1906 [trip : file title]",1906,Riders preparing to depart Lake Louise Chalet,https://archives.whyte.org/en/permalink/descriptions35041,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0485.jpg
wmcr-vaux-1n-v653-na-0478,NA,V653 / NA - 478,"Asulkan, Burgess Pass #9, to Summit Lake 1906 [trip : file title]",1906,Alpine Club of  camp at Summit Lake Selkirk Mountains,https://archives.whyte.org/en/permalink/descriptions35921,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0478.jpg
wmcr-vaux-1n-v653-na-0479,NA,V653 / NA - 479,"Asulkan, Burgess Pass #9, to Summit Lake 1906 [trip : file title]",1906,Alpine Club of  camp at Summit Lake Selkirk Mountains,https://archives.whyte.org/en/permalink/descriptions35922,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0479.jpg
wmcr-vaux-1n-v653-na-0482,NA,V653 / NA - 482,"Asulkan, Burgess Pass #9, to Summit Lake 1906 [trip : file title]",1906,Alpine Club of  camp at Summit Lake Selkirk Mountains,https://archives.whyte.org/en/permalink/descriptions35923,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0482.jpg
wmcr-vaux-1n-v653-na-0483,NA,V653 / NA - 483,"Asulkan, Burgess Pass #9, to Summit Lake 1906 [trip : file title]",1906,Alpine Club of  camp at Summit Lake Selkirk Mountains,https://archives.whyte.org/en/permalink/descriptions35924,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0483.jpg
wmcr-vaux-1n-v653-na-0486,NA,V653 / NA - 486,"Asulkan, Burgess Pass #9, to Summit Lake 1906 [trip : file title]",1906,Riders preparing to depart Lake Louise Chalet,https://archives.whyte.org/en/permalink/descriptions36487,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0486.jpg
